protocol,dst.port,frame.encap.type,sll.halen,tcp.hdr_len,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,udp.length,udp.stream,window,ip.flags.df,Nop,wscale,wscale_multiplier,sack_permited,maximum_segment_size,class
0.3125,0.0075905675361964,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156252384222171,0.0,0.0,0.0,0.0,0.0,0.0,masscan
0.3125,0.001206548964506,0.0,0.0,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nessus
0.3125,0.0067658378642556,0.0,0.0,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nessus
0.3125,0.0016189138004765,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156252384222171,0.0,0.0,0.0,0.0,0.0,0.0,masscan
0.3125,0.0012370945079112,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156252384222171,0.0,0.0,0.0,0.0,0.0,0.0,masscan
0.3125,0.0039556478709756,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156252384222171,0.0,0.0,0.0,0.0,0.0,0.0,masscan
0.3125,0.0012218217362086,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.980239566643778,0.0,0.0,0.0,0.0,0.0,0.0,niktoScan
0.3125,0.0083236605779216,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156252384222171,0.0,0.0,0.0,0.0,0.0,0.0,masscan
0.3125,0.0012218217362086,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9750972762645914,0.0,0.0,0.0,0.0,0.0,0.0,niktoScan
0.3125,0.0063687457999877,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156252384222171,0.0,0.0,0.0,0.0,0.0,0.0,masscan
0.3125,0.0089651169894312,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156252384222171,0.0,0.0,0.0,0.0,0.0,0.0,masscan
0.3125,0.0024589162441199,0.0,0.0,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nessus
0.3125,0.006200745311259,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156252384222171,0.0,0.0,0.0,0.0,0.0,0.0,masscan
0.3125,0.0016952776589895,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156252384222171,0.0,0.0,0.0,0.0,0.0,0.0,masscan
0.3125,0.0003818192925652,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156252384222171,0.0,0.0,0.0,0.0,0.0,0.0,masscan
0.3125,0.0094080273688068,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156252384222171,0.0,0.0,0.0,0.0,0.0,0.0,masscan
0.3125,0.0033905553179791,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156252384222171,0.0,0.0,0.0,0.0,0.0,0.0,masscan
0.3125,0.0038945567841651,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156252384222171,0.0,0.0,0.0,0.0,0.0,0.0,masscan
0.3125,0.0012829128230191,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156252384222171,0.0,0.0,0.0,0.0,0.0,0.0,masscan
0.3125,0.0012218217362086,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156252384222171,0.0,0.0,0.0,0.0,0.0,0.0,masscan
0.3125,0.0073462031889547,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156252384222171,0.0,0.0,0.0,0.0,0.0,0.0,masscan
0.3125,0.0008094569002382,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156252384222171,0.0,0.0,0.0,0.0,0.0,0.0,masscan
0.3125,0.0012218217362086,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9733882658121614,0.0,0.0,0.0,0.0,0.0,0.0,niktoScan
0.3125,0.0024894617875252,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156252384222171,0.0,0.0,0.0,0.0,0.0,0.0,masscan
0.3125,0.0015272771702608,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156252384222171,0.0,0.0,0.0,0.0,0.0,0.0,masscan
0.3125,0.0085985704685686,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156252384222171,0.0,0.0,0.0,0.0,0.0,0.0,masscan
0.3125,0.0006567291832121,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156252384222171,0.0,0.0,0.0,0.0,0.0,0.0,masscan
0.3125,0.0071018388417129,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156252384222171,0.0,0.0,0.0,0.0,0.0,0.0,masscan
0.3125,0.0078654774268434,0.0,0.0,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nessus
0.3125,0.0012218217362086,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9767910276951248,0.0,0.0,0.0,0.0,0.0,0.0,niktoScan
0.3125,0.0916366302156515,0.0,0.0,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nessus
0.3125,0.0012218217362086,0.0,0.0,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nessus
0.3125,0.0075905675361964,0.0,0.0,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nessus
